Domaine;Catégorie;Sous cat;Poste;sous poste;;;Sous poste nouveau;Poste nouveau
Immobilisations;Bâtiments;Sport et loisirs;Tous types;Surface en m²;;;Bâtiments;Immobilisations
Immobilisations;Bâtiments;Autres;Tous types;Surface en m²;;;Bâtiments;Immobilisations
Immobilisations;Matériels;Informatique;Tous types;Montant HT investi;;;Informatique;Immobilisations
Immobilisations;Bâtiments;Ratios financiers;Tous types;Montant HT investit;;;N/A;N/A
Immobilisations;Matériels;Machines;Tous types;Poids;;;Equipements;Immobilisations
Immobilisations;Matériels;Machines;Tous types;Ratios financiers;;;Equipements;Immobilisations
Immobilisations;Matériels;Informatique;Tous types;Nombre d'équipements;;;Informatique;Immobilisations
Immobilisations;Matériels;Autres;Tous types;Quantité totale;;;Autres infrastructures;Immobilisations
Immobilisations;Matériels;Mobilier;Tous types;Poids;;;Equipements;Immobilisations
Immobilisations;Matériels;Mobilier;Tous types;Nombre d'équipements;;;Equipements;Immobilisations
Investissements financiers;Catégorie 1;NULL;NULL;NULL;;;Investissements financiers réalisés;Utilisation et Dépendance
Investissements financiers;Catégorie 2;NULL;NULL;NULL;;;Investissements financiers réalisés;Utilisation et Dépendance
Non énergétique;N2O;Hors activités agricoles;Rejets dans l'atmosphère;Qantité totale rejetée;;;émissions liées aux procédés industriels + Autres émissions;Autres émissions non énergétiques
Non énergétique;CH4;Méthane biogénique;Rejets dans l'atmosphère;Quantité totale rejetée;;;N/A;N/A
Non énergétique;CH4;Méthane Fossile;Rejets dans l'atmosphère;Quantité totale rejetée;;;émissions liées aux procédés industriels + Autres émissions;Autres émissions non énergétiques
Non énergétique;CO2 Fossile hors combustion;Toutes catégories;Rejets dans l'atmosphère;Qantité totale rejetée;;;émissions liées aux procédés industriels + Autres émissions;Autres émissions non énergétiques
Non énergétique;Halocarbures Kyoto;HFC;Rejets dans l'atmosphère;Qantité totale rejetée;;;émissions procédés + émissions froid;Autres émissions non énergétiques
Non énergétique;Halocarbures Kyoto;NF3;Rejets dans l'atmosphère;Qantité totale rejetée;;;émissions liées aux procédés industriels + production de froid +  Autres émissions;Autres émissions non énergétiques
Non énergétique;Halocarbures Kyoto;Climatisation / groupes froid;Fuites de gaz frigorigènes;Quantités de recharge de gaz;;;Emissions liés à la production de froid;Autres émissions non énergétiques
Non énergétique;Agriculture;N2O - Engrais;Rejets dans l'atmosphère;Qantité totale rejetée;;;Agriculture;Autres émissions non énergétiques
Non énergétique;Agriculture;CH4 biogénique;Rejets dans l'atmosphère;Quantité totale rejetée;;;N/A;N/A
Non énergétique;Agriculture;Animaux;Estimation par animal;Quantité totale;;;Agriculture;Autres émissions non énergétiques
Non énergétique;Halocarbures Kyoto;SF6;Rejets dans l'atmosphère;Qantité totale rejetée;;;émissions liées aux procédés industriels + production de froid +  Autres émissions;Autres émissions non énergétiques
Non énergétique;Agriculture;Cultures;Azote épandu;Quantité totale;;;Agriculture;Autres émissions non énergétiques
